关系级别,主系统,主表,主表字段,子系统,子表,子表字段,关系类型,数据粒度,唯一性验证,覆盖率验证,行数放大验证,业务依据,风险说明,建议处理,是否需要人工确认
B,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,MEDREC.OPERATION,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99996"", ""orphan_count"": ""4"", ""match_rate"": ""0.99996""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,INPADM.PATS_IN_HOSPITAL,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""1126"", ""matched_count"": ""1124"", ""orphan_count"": ""2"", ""match_rate"": ""0.998224""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,INPADM.ADT_LOG,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99990"", ""orphan_count"": ""10"", ""match_rate"": ""0.9999""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,ORDADM.ORDERS,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99953"", ""orphan_count"": ""47"", ""match_rate"": ""0.99953""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,ORDADM.ORDERS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,HIS_SOURCE,ORDADM.ORDERS_COSTS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99993"", ""orphan_count"": ""7"", ""match_rate"": ""0.99993""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,ORDADM.ORDERS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,HIS_SOURCE,ORDADM.ORDERS_EXECUTE_DETAILS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99976"", ""orphan_count"": ""24"", ""match_rate"": ""0.99976""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,ORDADM.ORDERS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,HIS_SOURCE,DRUG_USER.INP_ORDER_EXECDATA,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99306"", ""orphan_count"": ""694"", ""match_rate"": ""0.99306""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,EXAM.EXAM_MASTER,EXAM_NO,HIS_SOURCE,EXAM.EXAM_REPORT,EXAM_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99999"", ""orphan_count"": ""1"", ""match_rate"": ""0.99999""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,EXAM.EXAM_MASTER,EXAM_NO,HIS_SOURCE,EXAM.EXAM_BILL_ITEMS,EXAM_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99904"", ""orphan_count"": ""96"", ""match_rate"": ""0.99904""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,INPBILL.INP_SETTLE_MASTER,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99996"", ""orphan_count"": ""4"", ""match_rate"": ""0.99996""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,HIS_SOURCE,INPBILL.PREPAYMENT_RCPT,PATIENT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99980"", ""orphan_count"": ""20"", ""match_rate"": ""0.9998""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,INPBILL.PREPAYMENT_RCPT,PATIENT_ID+VISIT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99846"", ""orphan_count"": ""154"", ""match_rate"": ""0.99846""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,HIS_SOURCE,OUTPADM.CLINIC_MASTER,PATIENT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99980"", ""orphan_count"": ""20"", ""match_rate"": ""0.9998""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,HIS_SOURCE,OUTPBILL.OUTP_RCPT_MASTER,PATIENT_ID,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99951"", ""orphan_count"": ""49"", ""match_rate"": ""0.99951""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,HIS_SOURCE,DRUG_USER.PHA_INP_REQUEST_DRUG,PAT_ID+IN_COUNT,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99888"", ""orphan_count"": ""112"", ""match_rate"": ""0.99888""}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
B,HIS_SOURCE,EXAM.EXAM_MASTER,EXAM_NO,HIS_SOURCE,EXAM.EXAM_BILL_ITEMS,EXAM_NO,sample_verified_business_key,子表多行对应主表一行或同业务对象多粒度，需按字段组合理解,见主键样本统计/正式导入前建议全量复核,"{""orphan_count"":6,""sample_limit"":10000,""matched_count"":9994,""total_count"":10000,""match_rate"":0.9994}",使用 EXISTS/抽样覆盖率验证，未采用裸 join 计数,33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host,样本匹配率高但存在少量孤儿或业务口径需确认,进入人工复核，不进入正式 ER 图,是
